date P ETpot Q T
2010062413  0.000 0.353 0.0004  26.2
2010062414  0.000 0.344 0.0004  26.7
2010062415  0.000 0.266 0.0004  25.9
2010062416  0.000 0.220 0.0004  25.8
2010062417  0.000 0.131 0.0004  24.9
2010062418  0.000 0.047 0.0004  22.4
2010062419  0.000 0.009 0.0004  20.7
2010062420  0.000 0.000 0.0004  19.2
2010062421  0.000 0.000 0.0004  17.9
2010062422  0.000 0.000 0.0004  17.2
2010062423  0.000 0.000 0.0004  16.5
2010062500  0.000 0.000 0.0004  15.4
2010062501  0.000 0.000 0.0004  14.1
2010062502  0.000 0.000 0.0004  13.0
2010062503  0.000 0.007 0.0004  11.4
2010062504  0.000 0.062 0.0004  14.1
2010062505  0.000 0.115 0.0004  15.3
2010062506  0.000 0.226 0.0004  17.4
2010062507  0.000 0.341 0.0004  19.2
2010062508  0.000 0.424 0.0004  20.6
2010062509  0.000 0.497 0.0004  21.8
2010062510  0.000 0.389 0.0004  21.7
2010062511  0.000 0.468 0.0004  22.6
2010062512  0.000 0.495 0.0004  23.5
2010062513  0.000 0.449 0.0004  23.9
2010062514  0.000 0.265 0.0004  23.1
2010062515  0.000 0.246 0.0004  23.7
2010062516  0.000 0.097 0.0004  22.3
2010062517  0.000 0.129 0.0004  22.2
2010062518  0.000 0.072 0.0004  20.0
2010062519  0.000 0.018 0.0004  17.6
2010062520  0.000 0.000 0.0004  15.7
2010062521  0.000 0.000 0.0004  13.2
2010062522  0.000 0.000 0.0004  13.0
2010062523  0.000 0.000 0.0004  12.4
2010062600  0.000 0.000 0.0004  10.7
2010062601  0.000 0.000 0.0004   8.2
2010062602  0.000 0.000 0.0004   9.5
2010062603  0.000 0.007 0.0004   9.2
2010062604  0.000 0.064 0.0004  13.2
2010062605  0.000 0.151 0.0004  16.4
2010062606  0.000 0.252 0.0004  18.7
2010062607  0.000 0.352 0.0004  20.2
2010062608  0.000 0.439 0.0004  21.5
2010062609  0.000 0.522 0.0004  22.3
2010062610  0.000 0.515 0.0004  22.7
2010062611  0.000 0.560 0.0004  23.8
2010062612  0.000 0.562 0.0004  24.6
2010062613  0.000 0.485 0.0004  24.1
2010062614  0.000 0.427 0.0004  25.5
2010062615  0.000 0.363 0.0004  25.2
2010062616  0.000 0.242 0.0004  24.8
2010062617  0.000 0.167 0.0004  24.2
2010062618  0.000 0.078 0.0004  22.2
2010062619  0.000 0.014 0.0004  18.9
2010062620  0.000 0.000 0.0004  17.9
2010062621  0.000 0.000 0.0004  16.2
2010062622  0.000 0.000 0.0004  15.3
2010062623  0.000 0.000 0.0004  14.6
2010062700  0.000 0.000 0.0004  13.4
2010062701  0.000 0.000 0.0004  12.5
2010062702  0.000 0.000 0.0004  10.7
2010062703  0.000 0.009 0.0002  12.4
2010062704  0.000 0.068 0.0002  15.2
2010062705  0.000 0.150 0.0002  17.7
2010062706  0.000 0.266 0.0002  20.3
2010062707  0.000 0.370 0.0002  22.4
2010062708  0.000 0.456 0.0002  24.2
2010062709  0.000 0.521 0.0002  25.1
2010062710  0.000 0.562 0.0004  25.9
2010062711  0.000 0.578 0.0004  26.8
2010062712  0.000 0.566 0.0004  27.5
2010062713  0.000 0.521 0.0004  28.5
2010062714  0.000 0.456 0.0004  28.0
2010062715  0.000 0.371 0.0004  28.2
2010062716  0.000 0.246 0.0004  28.0
2010062717  0.000 0.161 0.0004  27.4
2010062718  0.000 0.081 0.0004  26.0
2010062719  0.000 0.017 0.0004  20.5
2010062720  0.000 0.000 0.0004  17.9
2010062721  0.000 0.000 0.0004  16.2
2010062722  0.000 0.000 0.0004  14.4
2010062723  0.000 0.000 0.0004  14.3
2010062800  0.000 0.000 0.0004  14.7
2010062801  0.000 0.000 0.0004  12.3
2010062802  0.000 0.000 0.0004  13.2
2010062803  0.000 0.008 0.0004  12.1
2010062804  0.000 0.059 0.0004  16.6
2010062805  0.000 0.145 0.0004  19.5
2010062806  0.000 0.250 0.0004  22.6
2010062807  0.000 0.355 0.0004  24.8
2010062808  0.000 0.444 0.0004  27.3
